"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup","padj","log2FoldChange"
"LOC_Osm1g00170.1","LOC_Osm1g00170","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","AT2G07707.1","2","protein_coding","""Plant mitochondrial ATPase, F0 complex, subunit 8 protein""","NULL","""Plant mitochondrial ATPase, F0 complex, subunit 8 protein; FUNCTIONS IN: cobalt ion binding; INVOLVED IN: ATP synthesis coupled proton transport; LOCATED IN: mitochondrion, vacuole, membrane; EXPRESSED IN: cultured cell, leaf; CONTAINS InterPro DOMAIN/s: ATPase, F0 complex, subunit 8, mitochondrial, plant (InterPro:IPR003319), Protein of unknown function DUF1082, plant mitochondria (InterPro:IPR009455); BEST Arabidopsis thaliana protein match is: Plant mitochondrial ATPase, F0 complex, subunit 8 protein (TAIR:ATMG00480.1)""","-","Plant mitochondrial ATPase%2C F0 complex%2C subunit 8 protein","-","-","-","Plant mitochondrial ATPase%2C F0 complex%2C subunit 8 protein%3B FUNCTIONS IN: cobalt ion binding%3B INVOLVED IN: ATP synthesis coupled proton transport%3B LOCATED IN: mitochondrion%2C vacuole%2C membrane%3B EXPRESSED IN: cultured cell%2C leaf%3B CONTAINS InterPro DOMAIN/s: ATPase%2C F0 complex%2C subunit 8%2C mitochondrial%2C plant (InterPro:IPR003319)%2C Protein of unknown function DUF1082%2C plant mitochondria (InterPro:IPR009455)%3B BEST Arabidopsis thaliana protein match is: Plant mitochondrial ATPase%2C F0 complex%2C subunit 8 protein (TAIR:ATMG00480.1)%3B Has 226 Blast hits to 226 proteins in 79 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 218%3B Viruses - 0%3B Other Eukaryotes - 8 (source: NCBI BLink).","""PMID:15258262,PMID:15978049,PMID:16244158,PMID:20018591,PMID:21146842,locus:2828191""","protein_coding","-","-","-","data",0.0262132355081134,2.49025276188084
"LOC_Osm1g00200.1","LOC_Osm1g00200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","AT2G07771.2","2","protein_coding","Cytochrome C assembly protein","NULL","""Cytochrome C assembly protein; FUNCTIONS IN: heme transporter activity; INVOLVED IN: respiratory chain complex IV assembly, cytochrome complex assembly, heme transport, protein complex assembly; LOCATED IN: membrane; CONTAINS InterPro DOMAIN/s: Cytochrome c-type biogenesis protein CcmC (InterPro:IPR003557), Cytochrome c assembly protein (InterPro:IPR002541); BEST Arabidopsis thaliana protein match is: cytochrome C biogenesis 256 (TAIR:ATMG00900.1)""","ABCI5","Cytochrome C assembly protein","ABCI5","-","ATP-binding cassette I5","Cytochrome C assembly protein%3B FUNCTIONS IN: heme transporter activity%3B INVOLVED IN: respiratory chain complex IV assembly%2C cytochrome complex assembly%2C heme transport%2C protein complex assembly%3B LOCATED IN: membrane%3B CONTAINS InterPro DOMAIN/s: Cytochrome c-type biogenesis protein CcmC (InterPro:IPR003557)%2C Cytochrome c assembly protein (InterPro:IPR002541)%3B BEST Arabidopsis thaliana protein match is: cytochrome C biogenesis 256 (TAIR:ATMG00900.1)%3B Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798%3B Bacteria - 22429%3B Metazoa - 974%3B Fungi - 991%3B Plants - 531%3B Viruses - 0%3B Other Eukaryotes - 9610 (source: NCBI BLink).","""PMID:18299247,locus:504955920""","protein_coding","-","-","-","data",0.0057174976771764,2.5243597164586
"LOC_Osm1g00310.1","LOC_Osm1g00310","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.00201628777611354,3.22888796174044
"LOC_Osp1g00110.1","LOC_Osp1g00110","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00020.1","2","protein_coding","photosystem II reaction center protein A","""Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core""","""photosystem II reaction center protein A (PSBA); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light reaction; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbA/D1 (InterPro:IPR005867), Photosynthetic reaction centre, L/M (InterPro:IPR000484); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein D (TAIR:ATCG00270.1).""","PSBA","photosystem II reaction center protein A","PSBA","-","photosystem II reaction center protein A","photosystem II reaction center protein A (PSBA)%3B FUNCTIONS IN: chlorophyll binding%3B INVOLVED IN: photosynthesis%2C light reaction%3B LOCATED IN: in 6 components%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbA/D1 (InterPro:IPR005867)%2C Photosynthetic reaction centre%2C L/M (InterPro:IPR000484)%3B BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein D (TAIR:ATCG00270.1).","""PMID:10394638,PMID:9744095,PMID:9193094,PMID:8590463,PMID:11673622,PMID:11752385,PMID:11299375,PMID:11532164,PMID:12232406,PMID:14976253,PMID:2834093,PMID:15032878,PMID:15028209,PMID:15322131,PMID:15851416,PMID:16461379,PMID:16916444,PMID:17435084,PMID:17425718,PMID:18532976,PMID:18650403,PMID:16247559,PMID:19919572,PMID:20179937,PMID:20653883,PMID:21282060,PMID:22189425,PMID:23027666,PMID:23598180,PMID:24510261,locus:504954626""","protein_coding","Encodes chlorophyll binding protein D1%2C a part of the photosystem II reaction center core","-","-","data",0.00461826307574876,2.1860379627942
"LOC_Osp1g00120.1","LOC_Osp1g00120","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00040.1","2","protein_coding","maturase K","Encodes a maturase located in the trnK intron in the chloroplast genome.","""maturase K (MATK); CONTAINS InterPro DOMAIN/s: Intron maturase, type II (InterPro:IPR000442), Maturase, MatK, N-terminal (InterPro:IPR002866).""","MATK","maturase K","MATK","-","maturase K","maturase K (MATK)%3B CONTAINS InterPro DOMAIN/s: Intron maturase%2C type II (InterPro:IPR000442)%2C Maturase%2C MatK%2C N-terminal (InterPro:IPR002866).","""PMID:11250830,PMID:12527773,PMID:2834093,PMID:16115067,PMID:16507087,PMID:17726051,PMID:18650403,locus:504954628""","protein_coding","Encodes a maturase located in the trnK intron in the chloroplast genome.","-","-","data",0.00166553617589263,3.20195390781351
"LOC_Osp1g00130.1","LOC_Osp1g00130","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00050.1","2","protein_coding","ribosomal protein S16","Homologous to the bacterial ribosomal protein S16","""ribosomal protein S16 (RPS16); CONTAINS InterPro DOMAIN/s: Ribosomal protein S16, conserved site (InterPro:IPR020592), Ribosomal protein S16 (InterPro:IPR000307); BEST Arabidopsis thaliana protein match is: small subunit ribosomal protein 16 (TAIR:AT4G34620.1).""","RPS16","ribosomal protein S16","RPS16","-","ribosomal protein S16","ribosomal protein S16 (RPS16)%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein S16%2C conserved site (InterPro:IPR020592)%2C Ribosomal protein S16 (InterPro:IPR000307)%3B BEST Arabidopsis thaliana protein match is: small subunit ribosomal protein 16 (TAIR:AT4G34620.1).","""PMID:16247559,PMID:18453549,PMID:21317544,PMID:23682113,locus:504954629""","protein_coding","Homologous to the bacterial ribosomal protein S16","-","-","data",0.0057174976771764,1.81345856129866
"LOC_Osp1g00140.1","LOC_Osp1g00140","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00070.1","2","protein_coding","photosystem II reaction center protein K precursor","PSII K protein","photosystem II reaction center protein K precursor (PSBK); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast photosystem II; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbK (InterPro:IPR003687).","PSBK","photosystem II reaction center protein K precursor","PSBK","-","photosystem II reaction center protein K precursor","photosystem II reaction center protein K precursor (PSBK)%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: photosynthesis%3B LOCATED IN: chloroplast photosystem II%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbK (InterPro:IPR003687).","""PMID:15032878,PMID:17061125,PMID:18650403,PMID:24025801,locus:504954631""","protein_coding","PSII K protein","-","-","data",0.00389448189512559,2.5911810782152
"LOC_Osp1g00150.1","LOC_Osp1g00150","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00080.1","2","protein_coding","photosystem II reaction center protein I","PSII I protein","photosystem II reaction center protein I (PSBI); CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbI (InterPro:IPR003686).","PSBI","photosystem II reaction center protein I","PSBI","-","photosystem II reaction center protein I","photosystem II reaction center protein I (PSBI)%3B CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbI (InterPro:IPR003686).","""PMID:7615565,PMID:17061125,PMID:18650403,locus:504954632""","protein_coding","PSII I protein","-","-","data",0.00517746959057498,3.05011963992648
"LOC_Osp1g00160.1","LOC_Osp1g00160","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.000726815108884233,3.03864322054776
"LOC_Osp1g00190.1","LOC_Osp1g00190","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00300.1","2","protein_coding","YCF9","""encodes PsbZ, which is a subunit of photosystem II. In Chlamydomonas, this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II.""","""YCF9; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast thylakoid membrane, chloroplast photosystem II; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbZ (InterPro:IPR002644).""","YCF9","YCF9","YCF9","-","-","YCF9%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: photosynthesis%3B LOCATED IN: chloroplast thylakoid membrane%2C chloroplast photosystem II%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbZ (InterPro:IPR002644).","""PMID:8768377,PMID:14729914,PMID:17726051,PMID:18650403,locus:504954654""","protein_coding","encodes PsbZ%2C which is a subunit of photosystem II. In Chlamydomonas%2C this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II.","-","-","data",0.00517746959057498,2.12584573583041
